t,target,theta,err,tau
1.4399999999999913,0.7853981633974483,0.6452040472548324,0.14529862427391804,1.5491113658649285
1.4449999999999912,0.7853981633974483,0.6501524156405157,0.1401941161426159,1.4903707663829775
1.449999999999991,0.7853981633974483,0.6549374720467469,0.13524574775693254,1.4348820100719863
1.454999999999991,0.7853981633974483,0.659552460414797,0.13046069135070137,1.3827036015127785
1.4599999999999909,0.7853981633974483,0.663991047132033,0.1258457029826513,1.333886940573759
1.4649999999999908,0.7853981633974483,0.6682473263973475,0.12140711626541523,1.288476337912898
1.4699999999999906,0.7853981633974483,0.6723158246901242,0.11715083700010076,1.2465090431637806
1.4749999999999905,0.7853981633974483,0.6761915043533472,0.11308233870732409,1.208015285476661
1.4799999999999904,0.7853981633974483,0.6798697663028631,0.1092066590441011,1.1730183260747613
1.4849999999999903,0.7853981633974483,0.6833464518761184,0.10552839709458517,1.1415345224768665
1.4899999999999902,0.7853981633974483,0.6866178438349043,0.10205171152132986,1.1135734040293124
1.4949999999999901,0.7853981633974483,0.6896806665377627,0.09878031956254396,1.0891377583838493
1.49999999999999,0.7853981633974483,0.6925320852987338,0.09571749685968556,1.0682237285522749
1.50499999999999,0.7853981633974483,0.695169704950068,0.0928660780987145,1.0508209201641936
1.5099999999999898,0.7853981633974483,0.6975915676273845,0.09022845844738026,1.0369125185505879
1.5149999999999897,0.7853981633974483,0.6997961497965338,0.08780659577006378,1.0264754152729838
1.5199999999999896,0.7853981633974483,0.7017823585421332,0.08560201360091446,1.0194803437158046
1.5249999999999895,0.7853981633974483,0.7035495271383735,0.08361580485531506,1.0158920233577993
1.5299999999999894,0.7853981633974483,0.7050974099232697,0.08184863625907479,1.0156693123372889
1.5349999999999893,0.7853981633974483,0.7064261764980391,0.08030075347417853,1.0187653679251318
1.5399999999999892,0.7853981633974483,0.707536405273746,0.07897198689940921,1.0251278145188125
1.544999999999989,0.7853981633974483,0.7084290763877608,0.07786175812370233,1.0346989187707138
