regime,trial,mass,length,damping,gravity,final_theta_deg,peak_torque,success
nominal_only,191,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,192,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,193,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,194,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,195,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,196,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,197,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,198,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,199,1.0,0.5,0.1,9.81,45.0,8.0,1
mild_dr,0,1.1434,0.5121,0.0871,9.9943,43.891,8.0,1
mild_dr,1,0.8184,0.5464,0.1332,10.0475,45.624,8.0,1
mild_dr,2,0.9589,0.5365,0.1642,9.5166,45.023,8.0,1
mild_dr,3,0.8766,0.5197,0.0604,10.0885,45.292,8.0,1
mild_dr,4,0.9358,0.5419,0.1597,9.6463,44.956,8.0,1
mild_dr,5,0.9049,0.4574,0.1963,9.8813,46.277,8.0,1
mild_dr,6,1.138,0.4794,0.1426,9.6654,44.508,8.0,1
mild_dr,7,0.921,0.4768,0.1031,9.7829,46.015,8.0,1
mild_dr,8,0.8233,0.5148,0.1805,10.2228,45.674,8.0,1
mild_dr,9,1.0202,0.5207,0.1501,9.3521,44.908,8.0,1
mild_dr,10,1.1491,0.5176,0.0626,9.7458,43.953,8.0,1
mild_dr,11,1.1715,0.5035,0.1586,10.278,43.515,8.0,1
mild_dr,12,0.871,0.532,0.0945,9.9105,45.351,8.0,1
mild_dr,13,0.9761,0.4519,0.1607,10.2881,45.642,8.0,1
mild_dr,14,1.1808,0.4628,0.169,9.3439,44.716,8.0,1
mild_dr,15,0.9347,0.5479,0.1481,9.6444,44.979,8.0,1
mild_dr,16,1.1673,0.4757,0.1582,9.8222,44.262,8.0,1
mild_dr,17,0.928,0.5098,0.101,9.9006,45.28,8.0,1
mild_dr,18,1.0236,0.4562,0.1753,10.0787,45.233,8.0,1
mild_dr,19,1.0087,0.4773,0.0923,9.8325,45.121,8.0,1
mild_dr,20,1.0676,0.5089,0.1073,9.4961,44.487,8.0,1
mild_dr,21,0.8714,0.5014,0.1252,10.0465,45.75,8.0,1
mild_dr,22,1.11,0.5373,0.0862,10.0211,43.535,8.0,1
mild_dr,23,0.9612,0.5136,0.1666,9.4245,45.291,8.0,1
mild_dr,24,0.9268,0.5438,0.0896,9.9303,44.908,8.0,1
mild_dr,25,1.0003,0.4678,0.1893,9.5671,45.596,8.0,1
mild_dr,26,1.0797,0.4924,0.1929,9.9961,44.275,8.0,1
mild_dr,27,0.8833,0.5116,0.1702,9.5942,45.721,8.0,1
mild_dr,28,1.0487,0.4994,0.0784,9.8795,44.583,8.0,1
mild_dr,29,0.9188,0.5103,0.0898,10.1916,45.185,8.0,1
mild_dr,30,0.8923,0.4828,0.0723,9.6597,46.012,8.0,1
mild_dr,31,0.812,0.4513,0.1198,10.1951,46.621,8.0,1
mild_dr,32,0.9294,0.499,0.1841,9.6036,45.61,8.0,1
mild_dr,33,0.8522,0.467,0.0755,10.1617,46.267,8.0,1
mild_dr,34,0.8328,0.4856,0.1183,10.3005,46.025,8.0,1
mild_dr,35,0.8665,0.5018,0.179,9.3721,46.106,8.0,1
mild_dr,36,1.1638,0.4897,0.1243,10.0834,43.908,8.0,1
mild_dr,37,0.9585,0.4948,0.1586,10.1127,45.241,8.0,1
mild_dr,38,0.9823,0.4548,0.1019,10.2202,45.552,8.0,1
mild_dr,39,1.0109,0.4929,0.1662,10.1892,44.599,8.0,1
mild_dr,40,1.1052,0.5287,0.1998,10.1342,43.812,8.0,1
mild_dr,41,0.8843,0.4653,0.118,9.3607,46.493,8.0,1
mild_dr,42,1.0758,0.5308,0.1995,9.8687,43.853,8.0,1
mild_dr,43,0.9951,0.5231,0.0769,9.9002,44.597,8.0,1
mild_dr,44,1.1776,0.5458,0.0943,9.4512,43.556,8.0,0
mild_dr,45,0.8982,0.5035,0.1649,9.5281,45.993,8.0,1
mild_dr,46,0.9035,0.5489,0.1277,9.7542,45.128,8.0,1
mild_dr,47,0.9347,0.4753,0.1626,9.4771,46.037,8.0,1
mild_dr,48,0.9111,0.5463,0.1934,9.9122,45.091,8.0,1
mild_dr,49,1.0232,0.5205,0.1534,9.4255,44.802,8.0,1
mild_dr,50,1.0394,0.4863,0.1764,9.5074,45.062,8.0,1
mild_dr,51,1.148,0.4664,0.1205,10.245,44.169,8.0,1
mild_dr,52,1.1987,0.4943,0.1254,9.5605,43.94,8.0,1
mild_dr,53,0.9578,0.4798,0.0936,10.1378,45.286,8.0,1
mild_dr,54,0.9599,0.4942,0.1963,9.4675,45.379,8.0,1
mild_dr,55,1.0325,0.4939,0.0812,9.8004,44.717,8.0,1
mild_dr,56,0.9054,0.5107,0.1593,9.6873,45.553,8.0,1
mild_dr,57,0.8033,0.4779,0.0899,10.0153,46.495,8.0,1
mild_dr,58,0.9035,0.5214,0.1548,9.3863,45.631,8.0,1
mild_dr,59,1.1019,0.469,0.1137,9.7383,44.848,8.0,1
mild_dr,60,1.16,0.4856,0.1995,9.8193,44.031,8.0,1
mild_dr,61,1.0156,0.4922,0.1908,9.8171,45.023,8.0,1
mild_dr,62,1.1846,0.5047,0.085,9.9251,43.709,8.0,1
mild_dr,63,1.0442,0.5475,0.0893,9.9291,44.148,8.0,1
mild_dr,64,0.9509,0.4568,0.1887,9.8071,45.874,8.0,1
mild_dr,65,1.0758,0.4631,0.0649,10.0761,44.873,8.0,1
mild_dr,66,1.1488,0.5276,0.0621,9.8175,43.459,8.0,1
mild_dr,67,1.1042,0.4664,0.1214,10.2253,44.568,8.0,1
mild_dr,68,0.8494,0.5277,0.1272,10.113,45.432,8.0,1
mild_dr,69,0.8715,0.499,0.1107,10.1508,45.589,8.0,1
mild_dr,70,1.097,0.4863,0.1392,9.927,44.449,8.0,1
mild_dr,71,1.0021,0.5185,0.1661,10.0382,44.546,8.0,1
mild_dr,72,1.0622,0.5483,0.1609,10.2041,43.674,8.0,1
mild_dr,73,1.1996,0.5143,0.1697,9.9081,43.559,8.0,1
mild_dr,74,0.8016,0.4999,0.0841,9.7717,46.375,8.0,1
mild_dr,75,1.055,0.4848,0.1295,9.5589,44.986,8.0,1
mild_dr,76,1.0065,0.5011,0.1359,9.7612,44.85,8.0,1
mild_dr,77,0.9721,0.4857,0.1668,9.6811,45.5,8.0,1
mild_dr,78,0.8249,0.5438,0.0646,9.919,45.455,8.0,1
mild_dr,79,1.183,0.4913,0.1084,9.543,44.008,8.0,1
mild_dr,80,0.8762,0.4934,0.1944,10.0403,45.712,8.0,1
mild_dr,81,0.814,0.5102,0.1145,9.7436,46.266,8.0,1
mild_dr,82,0.8715,0.5215,0.1733,9.4667,45.89,8.0,1
mild_dr,83,0.8533,0.5016,0.1864,9.7679,46.017,8.0,1
mild_dr,84,1.0007,0.4564,0.1329,9.9115,45.453,8.0,1
mild_dr,85,1.0736,0.4894,0.0793,9.9726,44.53,8.0,1
mild_dr,86,1.1306,0.5395,0.1787,9.6676,43.722,8.0,1
mild_dr,87,0.8269,0.4845,0.0856,9.3736,46.591,8.0,1
mild_dr,88,0.8818,0.5177,0.1994,10.1268,45.512,8.0,1
mild_dr,89,1.1025,0.541,0.1057,10.0357,43.541,8.0,1
mild_dr,90,0.9873,0.5475,0.0923,9.9747,44.284,8.0,1
mild_dr,91,0.9686,0.4827,0.1164,10.1224,45.189,8.0,1
mild_dr,92,1.0501,0.532,0.141,9.8364,44.239,8.0,1
mild_dr,93,1.1001,0.4957,0.1352,9.4774,44.584,8.0,1
mild_dr,94,0.8251,0.4953,0.1726,10.0776,46.216,8.0,1
mild_dr,95,1.1988,0.5104,0.182,10.0367,43.363,8.0,1
mild_dr,96,0.8964,0.5308,0.122,10.0234,45.266,8.0,1
mild_dr,97,0.9802,0.5417,0.1822,9.7096,44.828,8.0,1
mild_dr,98,0.9824,0.5165,0.112,10.2921,44.758,8.0,1
mild_dr,99,0.8507,0.5161,0.1359,10.0017,45.622,8.0,1
mild_dr,100,0.9672,0.4749,0.1709,10.04,45.479,8.0,1
mild_dr,101,1.157,0.5161,0.0841,9.8163,43.624,8.0,1
mild_dr,102,1.1178,0.4653,0.1674,9.7919,44.727,8.0,1
mild_dr,103,0.8098,0.5107,0.0842,9.7801,46.308,8.0,1
mild_dr,104,0.8759,0.47,0.1838,9.4174,46.423,8.0,1
mild_dr,105,1.0405,0.542,0.1379,9.5795,44.416,8.0,1
mild_dr,106,0.9091,0.5482,0.1844,10.0171,44.726,8.0,1
mild_dr,107,0.8078,0.5466,0.0689,10.1919,45.433,8.0,1
mild_dr,108,1.001,0.4739,0.1281,10.118,45.141,8.0,1
mild_dr,109,1.1802,0.515,0.0985,9.6559,43.732,8.0,1
mild_dr,110,0.8508,0.5115,0.1095,9.8151,45.978,8.0,1
mild_dr,111,1.0457,0.5047,0.067,9.9561,44.481,8.0,1
mild_dr,112,1.1062,0.5402,0.1992,10.0135,43.601,8.0,1
mild_dr,113,0.8748,0.5013,0.1743,9.8126,45.835,8.0,1
mild_dr,114,1.1021,0.4808,0.1481,9.8139,44.606,8.0,1
mild_dr,115,0.9156,0.4599,0.0607,9.7895,46.113,8.0,1
mild_dr,116,1.0255,0.4768,0.1455,10.1889,44.705,8.0,1
mild_dr,117,0.982,0.5211,0.0883,10.198,44.711,8.0,1
mild_dr,118,1.1782,0.4929,0.1714,10.0676,43.734,8.0,1
mild_dr,119,1.0092,0.4838,0.0756,10.2366,44.876,8.0,1
mild_dr,120,0.9705,0.4609,0.0774,9.8763,45.79,8.0,1
mild_dr,121,1.1212,0.4728,0.136,9.4604,44.908,8.0,1
mild_dr,122,1.0526,0.4796,0.1883,9.588,45.255,8.0,1
mild_dr,123,0.8655,0.5061,0.0882,9.5751,45.927,8.0,1
mild_dr,124,0.9759,0.5048,0.174,10.0081,44.956,8.0,1
mild_dr,125,0.9919,0.5141,0.1611,9.499,45.171,8.0,1
mild_dr,126,1.0804,0.4558,0.0808,9.5957,45.246,8.0,1
mild_dr,127,0.862,0.5492,0.1137,9.6506,45.499,8.0,1
mild_dr,128,1.1912,0.5037,0.133,10.2386,43.298,8.0,1
mild_dr,129,0.9864,0.5005,0.1208,9.6182,45.254,8.0,1
mild_dr,130,0.8635,0.457,0.1307,10.2814,46.237,8.0,1
mild_dr,131,1.0099,0.4723,0.1037,9.6965,45.456,8.0,1
mild_dr,132,0.8411,0.4967,0.0911,10.2639,45.868,8.0,1
mild_dr,133,1.0441,0.5402,0.1097,10.1519,43.871,8.0,1
mild_dr,134,1.0078,0.4685,0.1055,9.5281,45.675,8.0,1
mild_dr,135,1.0418,0.4513,0.0722,9.6467,45.583,8.0,1
mild_dr,136,0.8143,0.4985,0.0735,9.8475,46.317,8.0,1
mild_dr,137,1.1369,0.5379,0.1205,9.8469,43.56,8.0,1
mild_dr,138,1.1832,0.5003,0.0655,9.8855,43.759,8.0,1
mild_dr,139,1.0758,0.4927,0.0798,10.121,44.425,8.0,1
mild_dr,140,1.0808,0.5363,0.1492,10.2088,43.709,8.0,1
mild_dr,141,0.8702,0.4545,0.0712,9.7346,46.35,8.0,1
mild_dr,142,1.0592,0.4889,0.1157,10.2335,44.285,8.0,1
mild_dr,143,0.9008,0.5045,0.1787,9.3362,45.864,8.0,1
mild_dr,144,0.8074,0.5265,0.1174,10.2064,45.78,8.0,1
mild_dr,145,0.8279,0.4675,0.1493,10.1765,46.136,8.0,1
mild_dr,146,1.0441,0.4819,0.0762,9.8634,45.017,8.0,1
mild_dr,147,1.1583,0.5286,0.0901,9.6623,43.762,8.0,1
mild_dr,148,0.8216,0.5392,0.0698,9.3483,46.051,8.0,1
mild_dr,149,0.9197,0.5041,0.1239,9.6867,45.578,8.0,1
mild_dr,150,1.0626,0.5458,0.1578,9.5891,43.969,8.0,1
mild_dr,151,1.1674,0.4888,0.0628,9.3628,44.46,8.0,1
mild_dr,152,1.1862,0.4775,0.1486,9.7833,44.13,8.0,1
mild_dr,153,1.1943,0.5254,0.0629,9.7276,43.421,8.0,1
mild_dr,154,0.927,0.4937,0.0749,9.8142,45.71,8.0,1
mild_dr,155,1.0074,0.5442,0.1236,9.4239,44.622,8.0,1
mild_dr,156,1.0378,0.4546,0.1223,10.2228,45.041,8.0,1
mild_dr,157,1.1395,0.4641,0.1666,9.4403,44.851,8.0,1
mild_dr,158,0.9037,0.5397,0.1799,10.1684,45.126,8.0,1
mild_dr,159,0.8632,0.4656,0.1684,10.071,46.074,8.0,1
mild_dr,160,0.8054,0.4902,0.1994,9.773,46.538,8.0,1
mild_dr,161,0.8423,0.4642,0.1787,10.1904,46.185,8.0,1
mild_dr,162,0.825,0.5041,0.1409,9.8624,46.079,8.0,1
mild_dr,163,0.9996,0.5249,0.1187,9.8735,44.547,8.0,1
mild_dr,164,0.981,0.5441,0.0707,9.7963,44.638,8.0,1
mild_dr,165,1.118,0.4692,0.0834,9.5228,44.945,8.0,1
mild_dr,166,0.9132,0.5301,0.1197,10.1174,44.988,8.0,1
mild_dr,167,0.9806,0.4861,0.1681,9.8394,45.422,8.0,1
mild_dr,168,0.8306,0.5226,0.1153,9.3947,46.225,8.0,1
mild_dr,169,0.9248,0.462,0.1689,10.0523,45.784,8.0,1
mild_dr,170,0.9547,0.5422,0.0958,10.1924,44.411,8.0,1
mild_dr,171,1.1211,0.4895,0.0674,9.604,44.47,8.0,1
mild_dr,172,1.1168,0.4697,0.1719,9.9385,44.588,8.0,1
mild_dr,173,1.0534,0.4598,0.0813,10.0632,45.122,8.0,1
mild_dr,174,1.0812,0.5462,0.1543,9.4977,44.005,8.0,1
mild_dr,175,0.8733,0.465,0.1232,10.2456,45.914,8.0,1
mild_dr,176,0.8089,0.4626,0.1223,10.2573,46.479,8.0,1
mild_dr,177,1.1734,0.5491,0.1449,9.4731,43.442,8.0,1
mild_dr,178,0.9521,0.5132,0.191,9.4841,45.319,8.0,1
mild_dr,179,1.1143,0.5331,0.124,10.0071,43.538,8.0,1
mild_dr,180,0.8908,0.5193,0.0952,9.3866,45.785,8.0,1
mild_dr,181,0.809,0.5345,0.141,10.0508,45.647,8.0,1
mild_dr,182,1.0131,0.4857,0.1359,10.0866,44.887,8.0,1
mild_dr,183,1.0803,0.5472,0.1387,9.9651,43.749,8.0,1
mild_dr,184,0.84,0.4885,0.0696,9.7583,46.266,8.0,1
mild_dr,185,0.9728,0.4503,0.1182,9.9058,45.933,8.0,1
mild_dr,186,0.9531,0.5029,0.09,9.5921,45.383,8.0,1
mild_dr,187,0.8284,0.4783,0.0693,10.1573,46.357,8.0,1
